empty name,neighbor name,dist,not empty name,neighbor name,dist,coef
22_58.tif,22_19.tif,0.0,28_33.tif,28_31.tif,0.0,0.165552323368
27_22.tif,27_26.tif,2.44948974278,7_25.tif,7_106.tif,0.0,0.173069829381
31_28.tif,31_71.tif,11.6619037897,28_33.tif,28_31.tif,0.0,0.165552323368
31_93.tif,31_29.tif,21.3541565041,26_86.tif,26_105.tif,0.0,0.190747769975
12_73.tif,12_7.tif,24.1039415864,28_50.tif,28_67.tif,0.0,0.152447630161
27_61.tif,27_26.tif,25.8263431403,28_1.tif,28_54.tif,1.0,0.20596571626
27_61.tif,27_26.tif,25.8263431403,28_111.tif,28_31.tif,5.0,0.145335798444
13_109.tif,13_62.tif,120.116610009,28_111.tif,28_31.tif,5.0,0.145335798444
28_102.tif,28_67.tif,181.115984938,28_111.tif,28_31.tif,5.0,0.145335798444
27_5.tif,27_54.tif,208.865985742,29_80.tif,29_72.tif,8.0622577483,0.205034914762
34_70.tif,34_52.tif,214.168158231,26_56.tif,26_105.tif,8.24621125124,0.176339591187
43_113.tif,43_90.tif,296.809703345,7_16.tif,7_33.tif,9.11043357914,0.150377011221
47_72.tif,47_46.tif,615.273922737,29_3.tif,29_85.tif,9.21954445729,0.141224994597
6_40.tif,6_108.tif,730.894657252,15_36.tif,15_82.tif,10.5830052443,0.203780668685
4_116.tif,4_6.tif,746.809882099,24_112.tif,24_30.tif,10.9087121146,0.184460370294
42_92.tif,42_85.tif,813.583431493,14_21.tif,14_47.tif,12.56980509,0.145436360942
30_81.tif,30_100.tif,824.367029908,7_49.tif,7_34.tif,12.9614813968,0.134428663716
5_102.tif,5_8.tif,858.291908385,7_49.tif,7_34.tif,12.9614813968,0.134428663716
30_86.tif,30_87.tif,966.410368322,7_49.tif,7_34.tif,12.9614813968,0.134428663716
4_3.tif,4_39.tif,1018.15912312,7_87.tif,7_12.tif,13.5646599663,0.204844492418
47_38.tif,47_46.tif,1082.0831761,7_70.tif,7_34.tif,14.6287388383,0.137000341647
43_97.tif,43_90.tif,1089.00091827,41_31.tif,41_2.tif,17.378147197,0.159478035661
17_117.tif,17_28.tif,1151.4165189,41_31.tif,41_2.tif,17.378147197,0.159478035661
30_73.tif,30_96.tif,1161.35524281,23_65.tif,23_119.tif,23.7276210354,0.242860749616
25_115.tif,25_44.tif,1365.34391272,7_75.tif,7_33.tif,25.4165300543,0.181872426756
47_109.tif,47_37.tif,1404.82810336,13_74.tif,13_62.tif,47.8330429724,0.179754595663
47_53.tif,47_46.tif,1413.44048336,13_74.tif,13_62.tif,47.8330429724,0.179754595663
5_49.tif,5_94.tif,1427.40638922,13_74.tif,13_62.tif,47.8330429724,0.179754595663
44_61.tif,44_103.tif,1455.04192379,13_74.tif,13_62.tif,47.8330429724,0.179754595663
43_45.tif,43_27.tif,1489.37940096,43_4.tif,43_105.tif,51.7590571784,0.213994485343
47_82.tif,47_18.tif,1723.750562,37_45.tif,37_21.tif,77.8588466393,0.196785020314
17_51.tif,17_28.tif,1784.64646359,44_39.tif,44_36.tif,95.2050418833,0.153399366895
10_99.tif,10_83.tif,1797.3591739,28_19.tif,28_54.tif,99.5740930162,0.132122099043
36_103.tif,36_3.tif,1852.8877462,28_60.tif,28_54.tif,99.8548947223,0.238377217378
11_38.tif,11_9.tif,1909.94162214,28_60.tif,28_54.tif,99.8548947223,0.238377217378
36_1.tif,36_34.tif,1910.01178007,41_68.tif,41_56.tif,109.918151367,0.137337694149
26_79.tif,26_1.tif,1912.95138464,25_13.tif,25_61.tif,116.288434507,0.186054746017
33_72.tif,33_15.tif,1924.35703548,16_54.tif,16_61.tif,119.058808998,0.155327371376
33_72.tif,33_15.tif,1924.35703548,16_73.tif,16_50.tif,125.131930378,0.176669694236
36_65.tif,36_11.tif,1925.7995742,16_73.tif,16_50.tif,125.131930378,0.176669694236
47_68.tif,47_46.tif,1949.60278006,16_22.tif,16_50.tif,129.949990381,0.152710189356
28_26.tif,28_79.tif,1969.61519084,1_44.tif,1_74.tif,142.530698448,0.189741166588
21_86.tif,21_81.tif,2018.8635417,1_44.tif,1_74.tif,142.530698448,0.189741166588
22_8.tif,22_87.tif,2083.19826229,42_80.tif,42_70.tif,143.01398533,0.160799482881
22_8.tif,22_87.tif,2083.19826229,23_50.tif,23_5.tif,145.705181788,0.134742472164
5_105.tif,5_44.tif,2087.89607021,9_69.tif,9_9.tif,166.892180764,0.288561936402
43_52.tif,43_59.tif,2105.80887072,20_37.tif,20_1.tif,179.309787798,0.149369791418
38_36.tif,38_29.tif,2216.36820046,28_45.tif,28_67.tif,181.069047603,0.164258864167
32_45.tif,32_97.tif,2222.1658354,42_99.tif,42_70.tif,209.838032778,0.196886892475
16_12.tif,16_29.tif,2244.64473804,38_56.tif,38_59.tif,238.757198844,0.199502363254
36_102.tif,36_3.tif,2271.23050349,38_56.tif,38_59.tif,238.757198844,0.199502363254
36_102.tif,36_3.tif,2271.23050349,41_44.tif,41_88.tif,313.990445715,0.187400827117
19_25.tif,19_101.tif,2281.67526173,47_40.tif,47_10.tif,376.11966181,0.156223258835
5_99.tif,5_44.tif,2360.09682005,47_4.tif,47_76.tif,434.213081332,0.235277939828
10_107.tif,10_48.tif,2367.84036624,44_11.tif,44_50.tif,466.186657896,0.134551698244
8_29.tif,8_66.tif,2460.4202893,41_8.tif,41_108.tif,514.965047358,0.201178222947
44_59.tif,44_47.tif,2466.4644737,41_8.tif,41_108.tif,514.965047358,0.201178222947
18_14.tif,17_54.tif,2477.48481327,30_101.tif,30_87.tif,560.991087273,0.186625623119
1_105.tif,1_87.tif,2517.07846521,41_99.tif,41_101.tif,582.054121195,0.159835591293
25_72.tif,25_17.tif,2566.55313602,9_104.tif,9_70.tif,592.023648176,0.305740713216
7_68.tif,7_81.tif,2654.38712324,37_90.tif,37_21.tif,594.871414677,0.214524158691
42_2.tif,42_17.tif,2654.51671684,47_54.tif,47_12.tif,601.471528836,0.184045216404
